Unnamed: 0.1,Unnamed: 0,ZS,activity,date,img,height,plant
19.0,19.0,Mint,Watering,9/18/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",8.7,Mint
20.0,20.0,Sunflower,Watering,9/1/2026,,35.0,Sunflower
21.0,21.0,Sunflower,Watering,9/2/2026,,35.0,Sunflower
22.0,22.0,Sunflower,Repotting,9/2/2026,,35.0,Sunflower
23.0,23.0,Sunflower,Watering,9/4/2026,,36.0,Sunflower
24.0,24.0,Sunflower,Watering,9/5/2026,,36.0,Sunflower
25.0,25.0,Sunflower,Watering,9/8/2026,,34.0,Sunflower
26.0,26.0,Sunflower,Watering,9/10/2026,,32.0,Sunflower
27.0,27.0,Sunflower,Watering,9/17/2026,,27.0,Sunflower
28.0,28.0,Sunflower,Watering,9/18/2026,,26.0,Sunflower
29.0,29.0,,Watering,9/18/2026,,17.0,Hibiscus
30.0,30.0,,Pruning,9/20/2026,,9.0,Carrot
31.0,31.0,,Watering,9/1/2026,"UploadedFile(file_id='3da11259-a605-4e91-aba0-6d6abe9b1f28', name='camera-input-2026-09-20T18_37_51.118Z.jpg', type='image/jpeg', size=228789, _file_urls=file_id: ""3da11259-a605-4e91-aba0-6d6abe9b1f28""
upload_url: ""/_stcore/upload_file/49579f5a-88a1-4f09-b69e-bbe3a6422564/3da11259-a605-4e91-aba0-6d6abe9b1f28""
delete_url: ""/_stcore/upload_file/49579f5a-88a1-4f09-b69e-bbe3a6422564/3da11259-a605-4e91-aba0-6d6abe9b1f28""
)",13.0,Red Rose
32.0,32.0,,Watering,9/3/2026,"UploadedFile(file_id='3da11259-a605-4e91-aba0-6d6abe9b1f28', name='camera-input-2026-09-20T18_37_51.118Z.jpg', type='image/jpeg', size=228789, _file_urls=file_id: ""3da11259-a605-4e91-aba0-6d6abe9b1f28""
upload_url: ""/_stcore/upload_file/49579f5a-88a1-4f09-b69e-bbe3a6422564/3da11259-a605-4e91-aba0-6d6abe9b1f28""
delete_url: ""/_stcore/upload_file/49579f5a-88a1-4f09-b69e-bbe3a6422564/3da11259-a605-4e91-aba0-6d6abe9b1f28""
)",13.0,Red Rose
33.0,33.0,,Watering,9/5/2026,"UploadedFile(file_id='3da11259-a605-4e91-aba0-6d6abe9b1f28', name='camera-input-2026-09-20T18_37_51.118Z.jpg', type='image/jpeg', size=228789, _file_urls=file_id: ""3da11259-a605-4e91-aba0-6d6abe9b1f28""
upload_url: ""/_stcore/upload_file/49579f5a-88a1-4f09-b69e-bbe3a6422564/3da11259-a605-4e91-aba0-6d6abe9b1f28""
delete_url: ""/_stcore/upload_file/49579f5a-88a1-4f09-b69e-bbe3a6422564/3da11259-a605-4e91-aba0-6d6abe9b1f28""
)",14.0,Red Rose
34.0,34.0,,Watering,9/7/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",13.7,Red Rose
35.0,35.0,,Watering,9/9/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",14.0,Red Rose
36.0,36.0,,Watering,9/11/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",14.2,Red Rose
37.0,37.0,,Watering,9/13/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",14.5,Red Rose
38.0,38.0,,Watering,9/15/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",14.8,Red Rose
39.0,39.0,,Watering,9/17/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",15.0,Red Rose
40.0,40.0,,Watering,9/19/2026,"UploadedFile(file_id='4e46eea5-9cf2-4e71-a315-f20fad59de19', name='camera-input-2026-09-20T18_40_30.887Z.jpg', type='image/jpeg', size=159114, _file_urls=file_id: ""4e46eea5-9cf2-4e71-a315-f20fad59de19""
upload_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
delete_url: ""/_stcore/upload_file/cc7a4c98-e358-44e2-b51f-f14698eb944e/4e46eea5-9cf2-4e71-a315-f20fad59de19""
)",15.3,Red Rose
41.0,,,Watering,2026-09-21,"UploadedFile(file_id='89d2dfe9-61a2-4b2d-bc07-91f4c8a7b99b', name='camera-input-2026-09-21T09_09_16.475Z.jpg', type='image/jpeg', size=101709, _file_urls=file_id: ""89d2dfe9-61a2-4b2d-bc07-91f4c8a7b99b""
upload_url: ""/_stcore/upload_file/d79e6efc-5bbc-411b-8c6e-af48a9ca225e/89d2dfe9-61a2-4b2d-bc07-91f4c8a7b99b""
delete_url: ""/_stcore/upload_file/d79e6efc-5bbc-411b-8c6e-af48a9ca225e/89d2dfe9-61a2-4b2d-bc07-91f4c8a7b99b""
)",16.0,Lily
,,,Watering,2026-09-21,"UploadedFile(file_id='52b82de4-6dbd-46c1-a14c-1769ebb15a6a', name='camera-input-2026-09-21T10_07_36.433Z.jpg', type='image/jpeg', size=203774, _file_urls=file_id: ""52b82de4-6dbd-46c1-a14c-1769ebb15a6a""
upload_url: ""/_stcore/upload_file/dabaa20f-3989-4d41-9fc9-94ea0bda0033/52b82de4-6dbd-46c1-a14c-1769ebb15a6a""
delete_url: ""/_stcore/upload_file/dabaa20f-3989-4d41-9fc9-94ea0bda0033/52b82de4-6dbd-46c1-a14c-1769ebb15a6a""
)",15.7,Red Rose
